[   0s] family A start. clear bonus 4, pop 24, elite 5, sig0 0.045, sigMin 0.018, seed 1000, budget 2350s
[   0s] grid: rise offsets -10/0/10 mm x plants 0.12/x1 0.13/x0.7 0.125/x1.3
[   5s] baseline best_r2_vault_40mm.json: k=1/9 obj=9.647 meanR=5.647 | rise[-10:0/3 +0:1/3 +10:0/3] plant[d0.120/f1.0:1/3 d0.130/f0.7:0/3 d0.125/f1.3:0/3]
[1114s] 60mm gen38: full=0 eliteObj 23.79 s13.4 s13.0 s11.3 s10.6 | best k=4/9 obj=23.788 | evals=1754 fullEvals=74
[1129s] 60mm gen39: full=1 eliteObj 23.79 7.90 s13.9 s12.0 s11.2 | best k=4/9 obj=23.788 | evals=1778 fullEvals=75
[1139s] 60mm gen40: full=0 eliteObj 23.79 s10.5 s10.2 s9.7 s9.4 | best k=4/9 obj=23.788 | evals=1802 fullEvals=75
[1141s] 60mm gen41: full=0 eliteObj 23.79 s8.7 s7.6 s6.9 | best k=4/9 obj=23.788 | evals=1805 fullEvals=75
[1145s] 50mm warm-start: k=1/9 obj=9.588 meanR=5.588 | rise[-10:1/3 +0:0/3 +10:0/3] plant[d0.120/f1.0:0/3 d0.130/f0.7:0/3 d0.125/f1.3:1/3]
[1157s] 50mm gen1: full=0 eliteObj 9.59 s13.5 s10.7 s8.6 s8.2 | best k=1/9 obj=9.588 | evals=1830 fullEvals=76
[1173s] 50mm gen2: full=1 eliteObj 9.59 8.67 s15.1 s10.0 s9.6 | best k=1/9 obj=9.588 | evals=1854 fullEvals=77
[1193s] 50mm gen3: full=2 eliteObj 9.59 8.79 8.22 s11.9 s10.8 | best k=1/9 obj=9.588 | evals=1878 fullEvals=79
[1205s] 50mm gen4: full=0 eliteObj 9.59 s15.5 s12.2 s11.4 s11.0 | best k=1/9 obj=9.588 | evals=1902 fullEvals=79
[1216s] 50mm gen5: full=0 eliteObj 9.59 s11.3 s10.3 s9.5 s7.9 | best k=1/9 obj=9.588 | evals=1926 fullEvals=79
[1232s] 50mm gen6: full=1 eliteObj 9.59 8.90 s14.6 s13.7 s13.2 | best k=1/9 obj=9.588 | evals=1950 fullEvals=80
[1244s] 50mm gen7: full=0 eliteObj 9.59 s13.5 s12.8 s12.1 s11.6 | best k=1/9 obj=9.588 | evals=1974 fullEvals=80
[1259s] 50mm gen8: full=1 eliteObj 9.59 6.74 s13.1 s12.2 s11.8 | best k=1/9 obj=9.588 | evals=1998 fullEvals=81
[1270s] 50mm gen9: full=0 eliteObj 9.59 s15.3 s11.7 s9.9 s9.7 | best k=1/9 obj=9.588 | evals=2022 fullEvals=81
[1281s] 50mm gen10: full=0 eliteObj 9.59 s16.1 s16.0 s15.9 s13.8 | best k=1/9 obj=9.588 | evals=2046 fullEvals=81
[1297s] 50mm gen11: full=1 eliteObj 9.59 5.33 s16.1 s11.1 s11.0 | best k=1/9 obj=9.588 | evals=2070 fullEvals=82
[1318s] 50mm gen12: full=2 eliteObj 9.59 8.36 7.04 s16.7 s15.9 | best k=1/9 obj=9.588 | evals=2094 fullEvals=84
[1335s] 50mm gen13 IMPROVE k=1/9 obj=12.661 meanR=8.661 | rise[-10:1/3 +0:0/3 +10:0/3] plant[d0.120/f1.0:1/3 d0.130/f0.7:0/3 d0.125/f1.3:0/3]
[1351s] 50mm gen13: full=5 eliteObj 12.66 7.50 5.63 5.17 5.12 | best k=1/9 obj=12.661 | evals=2118 fullEvals=89
[1380s] 50mm gen14: full=4 eliteObj 12.66 6.83 6.47 6.10 5.16 | best k=1/9 obj=12.661 | evals=2142 fullEvals=93
[1389s] 50mm gen15 IMPROVE k=2/9 obj=17.021 meanR=9.021 | rise[-10:2/3 +0:0/3 +10:0/3] plant[d0.120/f1.0:1/3 d0.130/f0.7:0/3 d0.125/f1.3:1/3]
[1433s] 50mm gen15: full=9 eliteObj 17.02 12.53 12.28 7.62 7.16 | best k=2/9 obj=17.021 | evals=2166 fullEvals=102
[1483s] 50mm gen16: full=8 eliteObj 17.02 8.15 8.08 7.94 7.70 | best k=2/9 obj=17.021 | evals=2190 fullEvals=110
[1546s] 50mm gen17: full=11 eliteObj 17.02 12.26 11.84 11.41 10.80 | best k=2/9 obj=17.021 | evals=2210 fullEvals=121
[1551s] 70mm warm-start: k=2/9 obj=13.478 meanR=5.478 | rise[-10:1/3 +0:1/3 +10:0/3] plant[d0.120/f1.0:1/3 d0.130/f0.7:0/3 d0.125/f1.3:1/3]
[1565s] 70mm gen1: full=0 eliteObj 13.48 s8.3 s8.3 s7.9 s7.4 | best k=2/9 obj=13.478 | evals=2235 fullEvals=122
[1580s] 70mm gen2: full=0 eliteObj 13.48 s12.0 s9.9 s9.2 s7.6 | best k=2/9 obj=13.478 | evals=2259 fullEvals=122
